relative_path,absolute_path,file_name,asset_kind,tier,site_id,extension,size_bytes,modified_utc,sha256
FIMbench_masterIndex.geojson,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/FIMbench_masterIndex.geojson,FIMbench_masterIndex.geojson,derived_or_index_vector,,,.geojson,127767,2026-02-27T18:08:11.776340+00:00,da35105dafefcc7de038f51ba794b6ee03a04bb11aea50f2bd7f5895459dfb63
fetch/AI_0_3m_20170831_953259W294459N_BM.tif.aux.xml,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/AI_0_3m_20170831_953259W294459N_BM.tif.aux.xml,AI_0_3m_20170831_953259W294459N_BM.tif.aux.xml,raster_auxiliary,,,.tif.aux.xml,408,2026-02-27T21:08:19.422226+00:00,ddfe019351a8b31caddea38807265119723e63822a63314c9f9ed28ba8a26d9d
fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,aoi_vector,Tier_1,AI_20160103_915444W341929N,.gpkg,33193984,2026-02-27T19:18:03.698408+00:00,261a886d3333484331ad24be704a21b354e45075295fb489e4ab31530b2c5e79
fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif,AI_0_4m_20160103T2_915444W341929N_BM.tif,benchmark_raster,Tier_1,AI_20160103_915444W341929N,.tif,321435210,2026-02-27T19:18:00.214304+00:00,609cb9d4aa6d874980de644021e766d3afe1a409819714c2cd9a4eca8ea422b6
fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif.aux.xml,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif.aux.xml,AI_0_4m_20160103T2_915444W341929N_BM.tif.aux.xml,raster_auxiliary,Tier_1,AI_20160103_915444W341929N,.tif.aux.xml,410,2026-02-28T21:58:31.030837+00:00,c0dccff1dd1f99f4b90a106df2229888e15bf631bb872a03e223e06ab14cd5ab
fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_AOI.gpkg,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_AOI.gpkg,AI_0_4m_20160103_923809W350109N_AOI.gpkg,aoi_vector,Tier_1,AI_20160103_923809W350109N,.gpkg,14139392,2026-02-27T19:23:28.038547+00:00,68aa007696136689556c5629c8ea4feb418a0c895695f162080fe2f8097c6989
fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif,AI_0_4m_20160103_923809W350109N_BM.tif,benchmark_raster,Tier_1,AI_20160103_923809W350109N,.tif,337301251,2026-02-27T19:23:25.549893+00:00,26db44cfba04e551ddde45a25c14e97b7f165e1e062b6e8cdbf537900cd9f94c
fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif.aux.xml,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif.aux.xml,AI_0_4m_20160103_923809W350109N_BM.tif.aux.xml,raster_auxiliary,Tier_1,AI_20160103_923809W350109N,.tif.aux.xml,410,2026-02-28T21:58:31.039540+00:00,ebf65ad6d52e75dcedc45ec6ccb9e74910a9f5272788e10e5d10ae7cf88fc2f6
fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104_902358W395729N_AOI.gpkg,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104_902358W395729N_AOI.gpkg,AI_0_4m_20160104_902358W395729N_AOI.gpkg,aoi_vector,Tier_1,AI_20160104_902358W395729N,.gpkg,16322560,2026-02-27T19:23:37.732710+00:00,eee4752057fae67b703134953bdf9f52c6679c30a7336d56dfe96351c04d6061
fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104_902358W395729N_BM.tif,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104_902358W395729N_BM.tif,AI_0_4m_20160104_902358W395729N_BM.tif,benchmark_raster,Tier_1,AI_20160104_902358W395729N,.tif,464819517,2026-02-27T19:23:35.654593+00:00,a97298ad5c62d4168940f829b42aaf656fc8690828deb88a92914e8f42bb4b86
